Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,378.0,378.0,180.0,207.0,207.0,1146094
2023-06-19,216.0,216.0,144.0,153.0,153.0,1308551
2023-06-26,144.0,180.0,90.0,99.0,99.0,1911909
2023-07-03,99.0,288.0,90.0,171.0,171.0,4703055
2023-07-10,162.0,198.0,126.0,144.0,144.0,2597762
2023-07-17,144.0,153.0,126.0,126.0,126.0,1344697
2023-07-24,126.0,126.0,108.0,108.0,108.0,1117221
2023-07-31,108.0,153.0,108.0,108.0,108.0,1916784
2023-08-07,99.0,108.0,87.0,101.0,101.0,1675442
2023-08-14,100.0,107.0,63.0,64.0,64.0,2978532
2023-08-21,67.0,96.0,39.0,65.0,65.0,7853263
2023-08-28,60.0,69.0,45.0,46.0,46.0,4991893
2023-09-04,45.0,55.0,39.0,42.0,42.0,2367006
2023-09-11,43.0,72.0,43.0,68.0,68.0,4622305
2023-09-18,69.0,75.0,50.0,53.0,53.0,2742106
2023-09-25,54.0,57.0,43.0,45.0,45.0,1909799
2023-10-02,46.0,49.0,44.0,47.0,47.0,857228
2023-10-09,46.0,47.0,39.0,39.0,39.0,878269
2023-10-16,39.0,39.0,24.0,25.0,25.0,1952656
2023-10-23,25.0,36.0,22.0,28.0,28.0,3712547
2023-10-30,28.0,34.0,25.0,30.0,30.0,2197665
2023-11-06,31.0,33.0,19.0,20.0,20.0,2369293
2023-11-13,21.0,23.0,17.0,19.0,19.0,3071873
2023-11-20,19.0,19.0,17.0,18.0,18.0,1054414
2023-11-27,18.0,19.0,15.0,16.0,16.0,2635176
2023-12-04,17.0,21.0,15.0,15.0,15.0,3517834
2023-12-11,15.0,15.0,12.0,14.0,14.0,3650982
2023-12-18,14.0,18.700000762939453,6.949999809265137,9.84000015258789,9.84000015258789,35106446
2023-12-25,10.170000076293945,17.989999771118164,9.40999984741211,14.289999961853027,14.289999961853027,18005100
2024-01-01,13.579999923706055,14.199999809265137,11.710000038146973,13.399999618530273,13.399999618530273,4368700
2024-01-08,13.170000076293945,14.949999809265137,11.0,11.029999732971191,11.029999732971191,3970100
2024-01-15,11.010000228881836,12.050000190734863,7.579999923706055,7.820000171661377,7.820000171661377,3459300
2024-01-22,7.71999979019165,8.600000381469727,6.360000133514404,6.679999828338623,6.679999828338623,5071300
2024-01-29,6.760000228881836,7.96999979019165,6.610000133514404,7.059999942779541,7.059999942779541,3010900
2024-02-05,6.949999809265137,7.579999923706055,6.699999809265137,6.96999979019165,6.96999979019165,2519600
2024-02-12,7.010000228881836,9.869999885559082,6.889999866485596,9.130000114440918,9.130000114440918,5250400
2024-02-19,9.140000343322754,9.140000343322754,7.099999904632568,7.199999809265137,7.199999809265137,2536700
2024-02-26,7.150000095367432,7.800000190734863,6.800000190734863,7.019999980926514,7.019999980926514,2778300
2024-03-04,7.0,7.389999866485596,6.199999809265137,6.820000171661377,6.820000171661377,3063700
2024-03-11,6.800000190734863,7.0,5.480000019073486,5.5,5.5,2454800
2024-03-18,5.539999961853027,5.539999961853027,4.110000133514404,4.210000038146973,4.210000038146973,5237600
2024-03-25,4.260000228881836,5.590000152587891,4.239999771118164,5.199999809265137,5.199999809265137,3558100
2024-04-01,5.139999866485596,5.25,3.799999952316284,4.0,4.0,3250300
2024-04-08,4.0,4.289999961853027,3.75,3.7699999809265137,3.7699999809265137,1811300
2024-04-15,3.6700000762939453,3.7300000190734863,2.569999933242798,2.5999999046325684,2.5999999046325684,3990100
2024-04-22,2.609999895095825,4.090000152587891,2.359999895095825,3.1600000858306885,3.1600000858306885,17517100
2024-04-29,3.990000009536743,7.449999809265137,3.640000104904175,4.170000076293945,4.170000076293945,136005700
2024-05-06,4.599999904632568,7.849999904632568,4.360000133514404,6.090000152587891,6.090000152587891,68205100
2024-05-13,6.050000190734863,7.449999809265137,4.739999771118164,4.860000133514404,4.860000133514404,20598800
2024-05-20,5.070000171661377,5.329999923706055,3.940000057220459,4.360000133514404,4.360000133514404,7642100
